feature,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
Fpz_theta_spectral_flatness,-0.023025942139849008,0.5741339707666511,[-0.1   0.06],0.008828374894890736,0.8294227977821803,[-0.07  0.09],600.0
Fpz_theta_spectral_edge_frequency,,,,,,,600.0
Fpz_theta_spectral_diff,0.049462045309839636,0.22714138761903782,[-0.03  0.13],0.02572678857848188,0.5300619254307442,[-0.05  0.11],600.0
Fpz_lowalpha_relative_power,-0.05737985688921468,0.16109803983913035,[-0.14  0.02],-0.03794904110371925,0.3542384814445845,[-0.12  0.04],600.0
Fpz_lowalpha_spectral_entropy,-0.0656296779621789,0.10887250872150228,[-0.15  0.01],-0.026154281951153126,0.5232466372287007,[-0.11  0.05],600.0
Fpz_lowalpha_spectral_flatness,-0.0651488082637216,0.11149503508297881,[-0.14  0.02],-0.0251832062493536,0.5387924489239957,[-0.11  0.06],600.0
Fpz_lowalpha_spectral_edge_frequency,,,,,,,600.0
Fpz_lowalpha_spectral_diff,-0.005734650007414651,0.8887049581501505,[-0.09  0.07],-0.04529635055976787,0.2687573452145686,[-0.13  0.04],600.0
Fpz_highalpha_relative_power,0.0279232792073592,0.4955291471931158,[-0.05  0.11],0.04092174803437454,0.3177817463914412,[-0.04  0.12],600.0
Fpz_highalpha_spectral_entropy,-0.028207513601381132,0.4911496966188451,[-0.11  0.05],0.009736939943994613,0.8121797606647054,[-0.07  0.09],600.0
Fpz_highalpha_spectral_flatness,-0.02871472665463348,0.4833864232590619,[-0.11  0.05],0.011076365188521864,0.7869268307201482,[-0.07  0.09],600.0
Fpz_highalpha_spectral_edge_frequency,,,,,,,600.0
Fpz_highalpha_spectral_diff,-0.007983664645823021,0.8455280247592927,[-0.09  0.07],0.013482842567578064,0.7421291947905526,[-0.07  0.09],600.0
Fpz_beta_relative_power,-0.030767505825636518,0.4526566635363979,[-0.11  0.05],-0.02363145664580879,0.5641043095259826,[-0.1   0.06],600.0
Fpz_beta_spectral_entropy,-0.028810575485081084,0.4819268858520297,[-0.11  0.05],-0.012946899621240708,0.7520368241201955,[-0.09  0.07],600.0
Fpz_beta_spectral_flatness,-0.028120070820537323,0.49249479229404425,[-0.11  0.05],-0.012510963585790949,0.7601259443657765,[-0.09  0.07],600.0
Fpz_beta_spectral_edge_frequency,,,,,,,600.0
Fpz_beta_spectral_diff,0.017387259915275136,0.6713243078731337,[-0.06  0.1 ],0.007009690744173391,0.8641776141163698,[-0.07  0.09],600.0
Fpz_lowgamma_relative_power,0.021448378921260926,0.6006525897547363,[-0.06  0.1 ],0.014156797491849121,0.7297306536648966,[-0.07  0.09],600.0
Fpz_lowgamma_spectral_entropy,-0.004994618805647363,0.9029910389053702,[-0.09  0.08],-0.011173324006983235,0.785107114217271,[-0.09  0.07],600.0
Fpz_lowgamma_spectral_flatness,-0.0048642794620314895,0.9055105835273695,[-0.09  0.08],-0.011891407619159784,0.7716672367885637,[-0.09  0.07],600.0
Fpz_lowgamma_spectral_edge_frequency,,,,,,,600.0
